StartLat,StartLon,Hour
25.125929,55.3814,0
25.113827,55.387108,0
25.17599,55.37039,0
25.117538,55.37743,0
25.155626,55.409252,0
25.11372,55.372623,0
25.180882,55.378246,0
25.110758,55.382797,0
25.17247,55.407066,0
25.161634,55.399,0
25.172277,55.368443,0
25.07396,55.39906,0
25.170519,55.410843,0
25.159918,55.40627,0
25.177256,55.386745,0
25.118032,55.391724,0
25.07971,55.365696,0
25.171505,55.401722,0
25.174423,55.378613,0
25.161678,55.4014,0
25.118763,55.39376,0
25.120543,55.37784,0
25.172665,55.40127,0
25.160454,55.401314,0
25.073936,55.39906,0
25.168093,55.412643,0
25.17041,55.41406,0
25.17069,55.4011,0
25.11917,55.394535,0
25.161764,55.418503,0
25.123827,55.376637,0
25.156162,55.401165,0
25.15966,55.39524,0
25.124256,55.42453,0
25.160734,55.40567,0
25.165174,55.415047,0
25.11475,55.371574,0
25.161741,55.399082,0
25.111252,55.376465,0
25.120394,55.378056,0
25.09885,55.31518,0
25.116274,55.39095,0
25.09608,55.37846,0
25.161098,55.420776,0
25.077757,55.364643,0
25.111616,55.37595,0
25.162922,55.416977,0
25.166376,55.413933,0
25.120415,55.377903,0
25.150778,55.389557,0
25.116508,55.39108,0
25.164703,55.415733,0
25.149748,55.40524,0
25.165476,55.397945,0
25.12153,55.39743,0
25.121788,55.39788,0
25.160755,55.39876,0
25.170582,55.398483,0
25.158459,55.397,0
25.177427,55.386852,0
25.111725,55.37612,0
25.168158,55.406487,0
25.1741,55.381508,0
25.14775,55.40344,0
25.175903,55.387817,0
25.150648,55.38996,0
25.171377,55.403805,0
25.166828,55.405693,0
25.17584,55.387775,0
25.122797,55.376015,0
25.163801,55.41421,0
25.170347,55.41449,0
25.120628,55.378506,0
25.146872,55.40215,0
25.167429,55.40329,0
25.175882,55.387817,0
25.170324,55.345844,0
25.116337,55.390865,0
25.164597,55.407536,0
25.1473,55.402367,0
25.114191,55.373547,0
25.180882,55.37814,0
25.108591,55.37801,0
25.112432,55.375114,0
25.166634,55.406593,0
25.156271,55.40138,0
25.169853,55.41395,0
25.119793,55.372604,0
25.173008,55.402344,0
25.163973,55.394276,0
25.181505,55.362347,0
25.16011,55.406357,0
25.115286,55.375565,0
25.172342,55.407494,0
25.17569,55.3463,0
25.170238,55.411762,0
25.08943,55.379536,0
25.12286,55.39917,0
25.117517,55.39112,0
25.108784,55.377625,0
25.169317,55.35108,0
25.17187,55.40966,0
25.14949,55.40185,0
25.167664,55.39213,0
25.156677,55.410904,0
25.15833,55.39979,0
25.073915,55.39904,0
25.12758,55.4208,0
25.156185,55.405197,0
25.17245,55.408737,0
25.15702,55.399384,0
25.167578,55.41301,0
25.166098,55.40024,0
25.170496,55.410755,0
25.112411,55.37576,0
25.164145,55.394253,0
25.112776,55.375458,0
25.170496,55.411163,0
25.168394,55.411743,0
25.086275,55.382366,0
25.144619,55.347713,0
25.161463,55.402557,0
25.171955,55.39919,0
25.110329,55.384663,0
25.17041,55.414165,0
25.108206,55.37943,0
25.15936,55.39681,0
25.093485,55.31484,0
25.115416,55.375263,0
25.157171,55.39932,0
25.123117,55.374683,0
25.111725,55.376274,0
25.159317,55.40406,0
25.171762,55.41198,0
25.090696,55.317673,0
25.118355,55.3802,0
25.15848,55.397064,0
25.11402,55.373653,0
25.12904,55.419037,0
25.175903,55.387794,0
25.166935,55.407257,0
25.176075,55.377968,0
25.159897,55.401165,0
25.181505,55.36033,0
25.073702,55.366295,0
25.15863,55.411335,0
25.123676,55.372906,0
25.120565,55.373375,0
25.160625,55.40541,0
25.174381,55.403095,0
25.118355,55.380222,0
25.11505,55.372776,0
25.158073,55.397625,0
25.16228,55.415733,0
25.120243,55.39595,0
25.144747,55.3926,0
25.114449,55.380543,0
25.171354,55.40711,0
25.16996,55.410885,0
25.171227,55.404297,0
25.168694,55.411892,0
25.17468,55.377476,0
25.112196,55.375908,0
25.17365,55.41155,0
25.16125,55.32445,0
25.157707,55.372818,0
25.11181,55.37593,0
25.155584,55.40685,0
25.118011,55.39183,0
25.168652,55.41185,0
25.127216,55.40299,0
25.075762,55.4023,0
25.11402,55.373505,0
25.169703,55.40934,0
25.171892,55.408783,0
25.163738,55.40741,0
25.15642,55.410583,0
25.115286,55.372498,0
25.108656,55.378418,0
25.17556,55.388226,0
25.109772,55.377197,0
25.170261,55.402946,0
25.15936,55.39565,0
25.111595,55.37593,0
25.072906,55.40084,0
25.103891,55.368828,0
25.171806,55.408867,0
25.160755,55.40582,0
25.160004,55.395134,0
25.147623,55.39923,0
25.11417,55.37211,0
25.125607,55.42631,0
25.158823,55.405735,0
25.113848,55.387238,0
25.127518,55.423157,0
25.121572,55.397408,0
25.11374,55.372433,0
25.177942,55.359215,0
25.120222,55.37299,0
25.120972,55.396656,0
25.123312,55.375072,0
25.157364,55.400562,0
25.16981,55.331596,0
25.117088,55.36945,0
25.165455,55.414833,0
25.122625,55.413307,0
25.128868,55.425648,0
25.157236,55.411015,0
25.168287,55.411293,0
25.170883,55.411957,0
25.112196,55.375866,0
25.147623,55.40376,0
25.149855,55.40391,0
25.163008,55.406055,0
25.163567,55.40479,0
25.17157,55.4126,0
25.111553,55.375996,0
25.17616,55.38876,0
25.162664,55.39771,0
25.111767,55.376186,0
25.179466,55.37417,0
25.175947,55.38771,0
25.161184,55.406677,0
25.111639,55.37608,0
25.115845,55.374813,0
25.175968,55.387775,0
25.164124,55.394276,0
25.118376,55.392517,0
25.108076,55.370586,0
25.150068,55.39773,0
25.122389,55.37846,0
25.148052,55.39282,0
25.16981,55.41395,0
25.171227,55.41462,0
25.115416,55.372326,0
25.164103,55.394253,0
25.156849,55.400414,0
25.169724,55.40524,0
25.174124,55.354023,0
25.147259,55.400692,0
25.15713,55.399384,0
25.111767,55.376015,0
25.143417,55.31662,0
25.160734,55.394855,0
25.17599,55.387753,0
25.165068,55.402603,0
25.168737,55.41198,0
25.171034,55.401592,0
25.15805,55.397324,0
25.111038,55.376423,0
25.093721,55.32368,0
25.17775,55.386917,0
25.156614,55.405434,0
25.125435,55.402687,0
25.153717,55.40992,0
25.162365,55.417343,0
25.176548,55.379063,0
25.151657,55.394535,0
25.168179,55.411163,0
25.123869,55.375114,0
25.10372,55.369,1
25.160133,55.406315,0
25.170519,55.40142,0
25.160133,55.406334,1
25.176054,55.40432,0
25.160069,55.406315,1
25.180882,55.378162,0
25.158287,55.396957,0
25.158417,55.405197,0
25.145155,55.40273,0
25.167,55.41123,0
25.1517,55.399254,1
25.111681,55.375996,0
25.106638,55.371338,0
25.114578,55.390114,0
25.121681,55.372776,0
25.11254,55.37567,0
25.098078,55.378246,0
25.122196,55.3982,0
25.118334,55.380135,0
25.119406,55.39505,0
25.117796,55.3708,0
25.173695,55.39743,1
25.114878,55.37168,0
25.155455,55.40215,0
25.142645,55.397816,1
25.121273,55.374363,0
25.145048,55.346447,0
25.125307,55.365265,1
25.144232,55.34778,1
25.165304,55.395306,1
25.115007,55.372646,1
25.16745,55.41292,0
25.164402,55.415325,0
25.113356,55.372326,0
25.163094,55.398827,1
25.095308,55.314926,1
25.168264,55.40541,0
25.108635,55.380802,0
25.154253,55.409702,1
25.117926,55.391335,0
25.11209,55.38355,0
25.170925,55.401592,1
25.17202,55.39917,1
25.098892,55.3749,0
25.125177,55.402515,1
25.171677,55.40934,1
25.111423,55.36651,1
25.169102,55.407642,0
25.077026,55.348614,0
25.112303,55.375866,1
25.13067,55.398182,1
25.16245,55.39627,0
25.158588,55.396744,0
25.172556,55.405865,1
25.111423,55.376423,1
25.093763,55.383266,1
25.156034,55.405197,1
25.172064,55.399124,1
25.167835,55.408524,1
25.122925,55.37447,1
25.0946,55.32696,1
25.113762,55.373203,1
25.12449,55.424553,1
25.175968,55.38773,1
25.167429,55.408375,1
25.170948,55.40934,1
25.169767,55.34606,1
25.149748,55.40522,1
25.178822,55.364773,1
25.157944,55.40432,1
25.167944,55.407043,1
25.113527,55.373184,1
25.164703,55.381874,1
25.130842,55.377666,1
25.156227,55.40168,1
25.157536,55.398483,1
25.119986,55.372517,1
25.175604,55.38816,1
25.16863,55.411827,1
25.172535,55.40584,1
25.092798,55.32239,1
25.109085,55.377003,1
25.177492,55.376617,1
25.114878,55.372623,1
25.127539,55.427773,1
25.121853,55.39784,1
25.173029,55.39728,1
25.165733,55.40595,1
25.11462,55.392086,1
25.108377,55.37934,1
25.15745,55.398438,1
25.17099,55.411762,1
25.170776,55.413525,1
25.156807,55.411057,1
25.164274,55.415413,1
25.168716,55.415306,1
25.151743,55.39552,1
25.168373,55.411465,1
25.157343,55.379772,1
25.167063,55.412945,1
25.118334,55.380093,1
25.180904,55.378204,1
25.125135,55.376873,1
25.111938,55.366726,1
25.15848,55.405605,1
25.168287,55.412388,1
25.180668,55.376358,1
25.126337,55.40286,1
25.1679,55.40039,1
25.128933,55.419083,1
25.164768,55.40245,1
25.12301,55.376743,1
25.121595,55.386528,1
25.113762,55.372925,1
25.11357,55.373203,1
25.160841,55.40419,1
25.159595,55.375156,1
25.115093,55.372646,1
25.16672,55.415585,1
25.116508,55.390842,1
25.171783,55.41198,1
25.16775,55.412815,1
25.096039,55.315247,1
25.171848,55.411808,1
25.160282,55.406677,1
25.171999,55.399105,1
25.169188,55.41271,1
25.160154,55.406357,1
25.170862,55.411762,1
25.133955,55.385284,1
25.1679,55.405327,1
25.11005,55.377045,1
25.171783,55.409187,1
25.088057,55.31988,1
25.115286,55.38857,1
25.115093,55.389618,1
25.17009,55.406612,1
25.157816,55.39803,1
25.17041,55.41376,1
25.172556,55.407345,1
25.114986,55.389683,1
25.157558,55.40891,1
25.14936,55.390736,1
25.120329,55.36505,1
25.167728,55.412838,1
25.17245,55.414852,1
25.17468,55.37621,1
25.17468,55.377476,1
25.175068,55.3896,1
25.143202,55.422344,1
25.108934,55.377647,1
25.168459,55.41144,1
25.166634,55.414898,1
25.12241,55.400776,1
25.150026,55.37035,1
25.117775,55.391273,1
25.160519,55.40906,1
25.144169,55.365414,1
25.080374,55.360588,1
25.17245,55.414017,1
25.147602,55.403824,1
25.162643,55.416336,1
25.167557,55.40653,1
25.168459,55.411762,1
25.108526,55.37863,1
25.118568,55.379986,1
25.156334,55.406807,1
25.120436,55.377968,1
25.112453,55.37548,1
25.168415,55.406055,1
25.111423,55.375973,1
25.092691,55.381207,1
25.18071,55.37657,1
25.111359,55.376038,1
25.17599,55.387688,1
25.108484,55.379448,1
25.172857,55.413822,1
25.16908,55.408222,1
25.173672,55.402214,1
25.175817,55.38786,1
25.123827,55.372967,1
25.147537,55.403824,1
25.118097,55.39211,1
25.171097,55.409317,1
25.16481,55.4161,1
25.127924,55.4238,1
25.179916,55.375156,1
25.159145,55.400627,1
25.165455,55.39224,1
25.126917,55.404552,1
25.156055,55.402172,1
25.156206,55.401787,1
25.123999,55.40947,1
25.160004,55.40666,1
25.113398,55.372433,1
25.17569,55.385994,1
25.163801,55.40612,1
25.168287,55.410328,1
25.126402,55.37844,1
25.150068,55.370308,1
25.161484,55.40232,1
25.113699,55.372967,1
25.17468,55.37728,1
25.169424,55.345074,1
25.15805,55.397644,1
25.098356,55.378227,1
25.166227,55.414104,1
25.113483,55.37312,1
25.156979,55.376766,1
25.171635,55.412388,1
25.176054,55.386166,1
25.163845,55.402214,1
25.16331,55.41966,1
25.168308,55.411293,1
25.158245,55.407642,1
25.115759,55.38904,1
25.160711,55.4058,1
25.16421,55.402172,1
25.168137,55.366318,1
25.171978,55.39906,1
25.161034,55.40142,1
25.17365,55.40226,1
25.12048,55.378525,1
25.155733,55.408695,1
25.122066,55.375736,1
25.160498,55.401314,1
25.12904,55.4191,1
25.158588,55.40567,1
25.1676,55.40872,1
25.163996,55.390522,1
25.113419,55.365715,1
25.115093,55.37374,1
25.11357,55.373077,1
25.090096,55.319645,1
25.174015,55.393932,1
25.162064,55.40436,1
25.15803,55.39773,1
25.147902,55.38771,1
25.13535,55.387196,1
25.183865,55.375263,1
25.118376,55.378803,1
25.15552,55.40687,1
25.176332,55.390587,1
25.089237,55.40953,1
25.159939,55.406357,1
25.087692,55.374405,1
25.17305,55.40318,1
25.118334,55.378784,1
25.123611,55.399963,1
25.115307,55.37314,1
25.089237,55.409554,1
25.155928,55.401035,1
25.16848,55.412277,1
25.113312,55.372517,1
25.17524,55.389214,1
25.147795,55.374256,1
25.166977,55.40906,1
25.179401,55.35445,1
25.168007,55.405884,1
25.168587,55.409874,2
25.114214,55.37168,1
25.171656,55.39904,2
25.158651,55.39681,1
25.112497,55.38316,2
25.172686,55.404877,2
25.117819,55.391228,1
25.14685,55.40213,2
25.160992,55.39887,2
25.165884,55.414276,2
25.120415,55.378334,2
25.120457,55.378483,1
25.120457,55.378334,2
25.166763,55.411312,2
25.175411,55.38861,2
25.148438,55.404125,2
25.171612,55.396767,2
25.155949,55.402172,2
25.159447,55.39878,2
25.091469,55.38475,1
25.169231,55.403717,2
25.148289,55.404125,2
25.161655,55.404297,2
25.168179,55.394318,1
25.174187,55.40245,2
25.174746,55.378056,1
25.156378,55.401314,2
25.114256,55.373547,2
25.163544,55.413418,2
25.120415,55.37799,2
25.175367,55.38831,1
25.179401,55.388588,2
25.119663,55.39537,2
25.156506,55.400906,2
25.165476,55.41657,2
25.13934,55.382988,2
25.171227,55.39919,2
25.175903,55.38773,2
25.160883,55.398846,2
25.123312,55.41835,2
25.164768,55.386185,2
25.169767,55.413525,1
25.156935,55.399963,2
25.171934,55.399105,2
25.16393,55.390564,2
25.172556,55.39099,2
25.16423,55.41288,2
25.15554,55.407707,2
25.106318,55.371296,2
25.1467,55.4064,2
25.160776,55.401443,2
25.120436,55.378418,2
25.09179,55.384342,2
25.15745,55.408672,2
25.179508,55.37801,2
25.14773,55.38771,2
25.127968,55.402924,2
25.155863,55.40286,2
25.169746,55.40415,2
25.108484,55.381767,2
25.114084,55.37286,2
25.11947,55.39505,2
25.124685,55.40009,2
25.15818,55.403652,2
25.12344,55.409985,2
25.163952,55.41835,2
25.171955,55.399105,2
25.109127,55.377495,2
25.155928,55.377796,2
25.16494,55.400154,2
25.125135,55.427727,2
25.114363,55.3737,2
25.175817,55.387882,2
25.174252,55.406723,2
25.16011,55.406315,2
25.164553,55.391808,2
25.180174,55.378117,2
25.174746,55.378098,2
25.135284,55.38874,2
25.17674,55.38713,2
25.171505,55.40436,2
25.159918,55.401142,2
25.155798,55.402195,2
25.1523,55.39831,2
25.148739,55.403954,2
25.160711,55.396164,2
25.160133,55.406315,2
25.168888,55.403633,2
25.122904,55.376038,2
25.091768,55.384083,2
25.120436,55.37844,2
25.176998,55.389404,2
25.122753,55.37415,2
25.162043,55.404232,2
25.148396,55.403996,2
25.120394,55.37844,2
25.068295,55.40655,2
25.121315,55.397514,2
25.122969,55.37447,2
25.079237,55.346233,2
25.128954,55.419018,2
25.159039,55.403652,2
25.161291,55.32454,2
25.118912,55.379833,2
25.169273,55.35136,2
25.16803,55.407665,2
25.161484,55.39887,2
25.108292,55.379276,2
25.122946,55.374405,2
25.168007,55.410625,2
25.159145,55.399384,2
25.157364,55.40582,2
25.17307,55.402065,2
25.1623,55.40447,2
25.173458,55.41142,2
25.120394,55.378418,2
25.168093,55.405865,2
25.168436,55.411484,2
25.113634,55.372368,2
25.164038,55.39082,2
25.162256,55.406784,2
25.179037,55.376873,2
25.171377,55.412945,2
25.114578,55.372795,2
25.169445,55.346275,2
25.168436,55.406635,2
25.169617,55.405735,2
25.159704,55.40728,2
25.173243,55.402,2
25.11726,55.390114,2
25.117733,55.39138,2
25.16747,55.411034,2
25.116789,55.39241,2
25.180882,55.375027,2
25.156807,55.40979,2
25.167,55.405476,2
25.165497,55.416508,2
25.156763,55.411057,2
25.164295,55.391293,2
25.120436,55.39595,2
25.180046,55.37818,2
25.159489,55.40106,2
25.11518,55.372475,2
25.151442,55.395393,2
25.142538,55.399662,2
25.144833,55.39166,2
25.162537,55.414276,2
25.16863,55.406334,2
25.171312,55.407127,2
25.156055,55.40215,2
25.171463,55.41258,2
25.165947,55.39243,2
25.16891,55.411808,2
25.119213,55.39511,2
25.158909,55.400284,2
25.166204,55.40022,2
25.173523,55.40254,2
25.108269,55.370907,2
25.163073,55.398804,3
25.156013,55.40228,2
25.159853,55.406315,2
25.162193,55.39962,2
25.135134,55.387753,2
25.162771,55.399254,2
25.17159,55.40835,2
25.118397,55.381893,2
25.164597,55.401978,3
25.158823,55.403522,3
25.177105,55.389385,2
25.168072,55.407642,3
25.120394,55.37831,2
25.159962,55.406334,3
25.1623,55.39464,3
25.128977,55.41921,3
25.180046,55.36726,3
25.171955,55.399105,3
25.108828,55.377583,3
25.159897,55.422173,2
25.158566,55.40376,2
25.110544,55.3767,3
25.169489,55.41153,3
25.168093,55.406055,3
25.161892,55.400562,3
25.168888,55.39582,2
25.160604,55.401337,3
25.070269,55.3493,2
25.170883,55.411892,2
25.116638,55.389812,3
25.091253,55.38449,2
25.171635,55.401764,3
25.18086,55.374428,3
25.164038,55.3908,2
25.154318,55.41168,3
25.129019,55.41507,3
25.124298,55.37844,2
25.166763,55.41683,3
25.163244,55.404747,3
25.17159,55.41217,3
25.161205,55.324753,2
25.163952,55.390694,3
25.164017,55.390476,3
25.143353,55.394253,2
25.172085,55.408073,3
25.170176,55.403675,3
25.168436,55.40861,3
25.172064,55.406914,3
25.16627,55.411015,3
25.167536,55.407127,3
25.124834,55.402023,3
25.161484,55.42142,3
25.147644,55.403717,2
25.12314,55.397903,3
25.120436,55.3784,3
25.158094,55.40361,3
25.158094,55.397686,3
25.095308,55.368053,2
25.088764,55.362152,2
25.15024,55.402966,3
25.154102,55.335373,3
25.16788,55.412685,3
25.161764,55.39904,3
25.168716,55.40361,2
25.112453,55.38816,3
25.12037,55.37846,3
25.126293,55.384964,3
25.16436,55.40552,3
25.080847,55.36874,3
25.117754,55.391357,3
25.170582,55.36194,3
25.160133,55.39505,3
25.162064,55.39904,3
25.163973,55.390564,3
25.163094,55.399467,2
25.163588,55.399513,2
25.120264,55.39419,3
25.128977,55.418953,3
25.177664,55.389576,3
25.164446,55.405457,3
25.164618,55.39183,3
25.1626,55.3955,3
25.155733,55.408825,3
25.171097,55.410843,3
25.160368,55.416443,3
25.173029,55.40361,3
